Trial	DayAfter1Apr	Pool	Location	Pond	Select	Cline	Cline2	FamilyCode	Family	Rep	Hours	Event	TrialPool	Night
1	25	1	MIDDLE	LANOUE	LOWER	80	250	2	MIDDLE2	A	1.5	1	TR1PO1	no
1	25	1	MIDDLE	LANOUE	LOWER	80	250	2	MIDDLE2	A	1.5	1	TR1PO1	no
1	25	1	MIDDLE	LANOUE	LOWER	80	250	2	MIDDLE2	A	1.5	1	TR1PO1	no
1	25	1	MIDDLE	LANOUE	LOWER	80	250	2	MIDDLE2	A	1.5	1	TR1PO1	no
1	25	1	MIDDLE	LANOUE	LOWER	80	250	2	MIDDLE2	A	1.5	1	TR1PO1	no
1	25	1	MIDDLE	LANOUE	LOWER	80	250	2	MIDDLE2	A	1.5	1	TR1PO1	no
1	25	2	UPPER	LANOUE	UPPER	0	170	22	UPPER22	A	1.5	1	TR1PO2	no
1	25	2	UPPER	LANOUE	UPPER	0	170	22	UPPER22	A	1.5	1	TR1PO2	no
1	25	2	UPPER	LANOUE	UPPER	0	170	22	UPPER22	A	1.5	1	TR1PO2	no
1	25	2	UPPER	LANOUE	UPPER	0	170	22	UPPER22	A	1.5	1	TR1PO2	no
1	25	2	UPPER	LANOUE	UPPER	0	170	22	UPPER22	A	1.5	1	TR1PO2	no
1	25	2	UPPER	LANOUE	UPPER	0	170	22	UPPER22	A	1.5	1	TR1PO2	no
1	25	2	UPPER	LANOUE	UPPER	0	170	22	UPPER22	A	1.5	1	TR1PO2	no
1	25	3	MIDDLE	LANOUE	LOWER	80	250	13	MIDDLE13	A	1.5	1	TR1PO3	no
1	25	3	MIDDLE	LANOUE	LOWER	80	250	13	MIDDLE13	A	1.5	1	TR1PO3	no
1	25	3	MIDDLE	LANOUE	LOWER	80	250	13	MIDDLE13	A	1.5	1	TR1PO3	no
1	25	3	MIDDLE	LANOUE	LOWER	80	250	13	MIDDLE13	A	1.5	1	TR1PO3	no
1	25	3	MIDDLE	LANOUE	LOWER	80	250	13	MIDDLE13	A	1.5	1	TR1PO3	no
1	25	3	MIDDLE	LANOUE	LOWER	80	250	13	MIDDLE13	A	1.5	1	TR1PO3	no
